Crop,Variety,Origin,Released year,Recommended domain,Crop duration (days),Potential yield (t ha-1),Special characteristics
Pigeonpea,Rampur arahar-1,Introduced from India,1992 (2048),"Central terai, Inner terai",197,1.5,"Well adapted in Chitwan, Makawanpur and Sarlahi"
Pigeonpea,Bageshwori,Nepal (PR 5147),1992 (2048),,261,2,"Well adapted in Dhanusha, Sarlahi and Banke"
