Maize_hybrid,Parentage,Nepali_name
Gaurav hybrid,CML-433 x CML-430,uf}/j xfO{lj|8
RH-2,RML-4 x NML-2,/fdk'/ xfO{lj|8 @
Khumal hybrid 2,,v'dn xfO{lj|8 @
RH-4,RML-4 x RML-17,/fdk'/ xfO{lj|8 $
RH-6,RML-32 x RML-17,/fdk'/ xfO{lj|8 ^
RH-8,ZL126632 x CML-45,/fdk'/ xfO{lj|8 *
RH-10,VL101926 x CML-45,/fdk'/ xfO{lj|8 !)
